id.int64()	account_id.int64()	event.string()	timestamp.date(2006-03-02 15:04:05.99999999)	page_url.string()	button_label.string()
1	83	Button Clicked	2022-03-15 00:18:25		Invite
2	83	Page Viewed	2022-03-15 00:20:48	www.piespace.example/invite	
3	83	Page Viewed	2022-03-15 00:20:48	www.piespace.example/home	
4	83	Page Viewed	2022-03-15 00:25:26	www.piespace.example/home	
5	83	Page Viewed	2022-03-15 00:26:00	www.piespace.example/invite	
6	83	Page Viewed	2022-03-15 00:26:00	www.piespace.example/pies	
7	83	Page Viewed	2022-03-15 00:43:18	www.piespace.example/pies	
8	217	Page Viewed	2022-03-15 00:43:54	www.piespace.example/help	
9	478	Page Viewed	2022-03-15 01:16:39	www.piespace.example/home	
10	738	Page Viewed	2022-03-15 01:51:43	www.piespace.example/invite	
11	738	Page Viewed	2022-03-15 02:06:01	www.piespace.example/login	
12	200	Page Viewed	2022-03-15 02:07:37	www.piespace.example/login	
13	738	Page Viewed	2022-03-15 02:09:41	www.piespace.example/home	
14	24	Button Clicked	2022-03-15 02:12:28		Invite
15	24	Page Viewed	2022-03-15 02:13:19	www.piespace.example/invite	
16	200	Page Viewed	2022-03-15 02:14:21	www.piespace.example/invite	
17	10	Page Viewed	2022-03-15 02:53:56	www.piespace.example/pies	
18	12	Page Viewed	2022-03-15 02:57:50	www.piespace.example/login	
19	31	Button Clicked	2022-03-15 02:58:29		Create Item
20	31	Button Clicked	2022-03-15 02:58:40		Signup
21	31	Button Clicked	2022-03-15 02:58:50		Create Item
22	31	Button Clicked	2022-03-15 02:59:31		Subscribe
23	31	Button Clicked	2022-03-15 02:59:43		Invite
24	31	Button Clicked	2022-03-15 02:59:52		Subscribe
25	31	Button Clicked	2022-03-15 02:59:59		Signup
26	31	Page Viewed	2022-03-15 03:00:51	www.piespace.example/help	
27	12	Page Viewed	2022-03-15 03:01:19	www.piespace.example/help	
28	31	Page Viewed	2022-03-15 03:06:51	www.piespace.example/pies	
29	10	Page Viewed	2022-03-15 03:06:57	www.piespace.example/home	
30	31	Page Viewed	2022-03-15 03:07:39	www.piespace.example/help	
31	31	Page Viewed	2022-03-15 03:10:46	www.piespace.example/login	
32	31	Page Viewed	2022-03-15 03:11:30	www.piespace.example/invite	
33	31	Page Viewed	2022-03-15 03:12:35	www.piespace.example/login	
34	31	Page Viewed	2022-03-15 03:16:34	www.piespace.example/invite	
35	10	Page Viewed	2022-03-15 03:29:55	www.piespace.example/invite	
36	10	Page Viewed	2022-03-15 03:37:24	www.piespace.example/invite	
37	200	Page Viewed	2022-03-15 04:14:52	www.piespace.example/pies	
38	200	Page Viewed	2022-03-15 04:14:52	www.piespace.example/help	
39	200	Page Viewed	2022-03-15 04:15:47	www.piespace.example/help	
40	216	Page Viewed	2022-03-15 04:17:53	www.piespace.example/home	
41	12	Page Viewed	2022-03-15 04:18:14	www.piespace.example/invite	
42	156	Button Clicked	2022-03-15 04:19:52		Subscribe
43	200	Page Viewed	2022-03-15 04:40:07	www.piespace.example/invite	
44	156	Page Viewed	2022-03-15 04:40:34	www.piespace.example/login	
45	12	Page Viewed	2022-03-15 04:42:22	www.piespace.example/home	
46	156	Page Viewed	2022-03-15 05:03:55	www.piespace.example/login	
47	15	Page Viewed	2022-03-15 05:15:46	www.piespace.example/login	
48	15	Button Clicked	2022-03-15 05:25:29		Checkout
