id.int64()	account_id.int64()	payment.decimal()	expected_invoice.boolean()	plan.string()	date_received.date(2006-03-02 15:04:05.99999999)
1	36	295.00	true	Basic	2020-09-30 00:00:00
2	28	295.00	true	Basic	2020-09-30 00:00:00
3	244	295.00	true	Basic	2020-10-26 00:00:00
4	203	295.00	true	Basic	2020-10-27 00:00:00
5	164	295.00	true	Basic	2020-10-28 00:00:00
6	81	295.00	true	Basic	2020-10-29 00:00:00
7	63	295.00	true	Basic	2020-10-29 00:00:00
8	90	295.00	true	Basic	2020-10-29 00:00:00
9	80	295.00	true	Basic	2020-10-29 00:00:00
10	103	295.00	true	Basic	2020-10-29 00:00:00
11	36	295.00	true	Basic	2020-10-30 00:00:00
12	28	295.00	true	Basic	2020-10-30 00:00:00
13	327	295.00	true	Basic	2020-11-24 00:00:00
14	314	875.00	true	Premium	2020-11-24 00:00:00
15	244	295.00	true	Basic	2020-11-26 00:00:00
16	187	295.00	true	Basic	2020-11-27 00:00:00
17	203	295.00	true	Basic	2020-11-27 00:00:00
18	132	295.00	true	Basic	2020-11-28 00:00:00
19	120	295.00	true	Basic	2020-11-28 00:00:00
20	164	295.00	true	Basic	2020-11-28 00:00:00
21	90	329.80	true	Basic	2020-11-29 00:00:00
22	103	295.00	true	Basic	2020-11-29 00:00:00
23	63	295.00	true	Basic	2020-11-29 00:00:00
24	81	295.00	true	Basic	2020-11-29 00:00:00
25	80	515.40	true	Basic	2020-11-29 00:00:00
26	43	295.00	true	Basic	2020-11-30 00:00:00
27	28	295.00	true	Basic	2020-11-30 00:00:00
28	36	295.00	true	Basic	2020-11-30 00:00:00
29	327	295.00	true	Basic	2020-12-24 00:00:00
30	314	875.00	true	Premium	2020-12-24 00:00:00
31	244	295.00	true	Basic	2020-12-26 00:00:00
32	203	295.00	true	Basic	2020-12-27 00:00:00
33	187	295.00	true	Basic	2020-12-27 00:00:00
34	120	295.00	true	Basic	2020-12-28 00:00:00
35	132	295.00	true	Basic	2020-12-28 00:00:00
36	164	295.00	true	Basic	2020-12-28 00:00:00
37	92	295.00	true	Basic	2020-12-29 00:00:00
38	81	295.00	true	Basic	2020-12-29 00:00:00
39	80	483.50	true	Basic	2020-12-29 00:00:00
40	63	295.00	true	Basic	2020-12-29 00:00:00
41	103	295.00	true	Basic	2020-12-29 00:00:00
42	90	413.90	true	Basic	2020-12-29 00:00:00
43	43	295.00	true	Basic	2020-12-30 00:00:00
44	53	295.00	true	Basic	2020-12-30 00:00:00
45	36	295.00	true	Basic	2020-12-30 00:00:00
46	28	295.00	true	Basic	2020-12-30 00:00:00
47	314	875.00	true	Premium	2021-01-24 00:00:00
48	327	295.00	true	Basic	2021-01-24 00:00:00
49	334	295.00	true	Basic	2021-01-24 00:00:00
50	244	295.00	true	Basic	2021-01-26 00:00:00
51	191	295.00	true	Basic	2021-01-27 00:00:00
52	203	295.00	true	Basic	2021-01-27 00:00:00
53	187	295.00	true	Basic	2021-01-27 00:00:00
54	135	295.00	true	Basic	2021-01-28 00:00:00
55	132	295.00	true	Basic	2021-01-28 00:00:00
56	164	295.00	true	Basic	2021-01-28 00:00:00
57	120	561.80	true	Basic	2021-01-28 00:00:00
58	63	295.00	true	Basic	2021-01-29 00:00:00
59	92	295.00	true	Basic	2021-01-29 00:00:00
60	80	300.80	true	Basic	2021-01-29 00:00:00
61	90	358.80	true	Basic	2021-01-29 00:00:00
62	81	295.00	true	Basic	2021-01-29 00:00:00
63	103	295.00	true	Basic	2021-01-29 00:00:00
64	53	295.00	true	Basic	2021-01-30 00:00:00
65	36	295.00	true	Basic	2021-01-30 00:00:00
66	28	295.00	true	Basic	2021-01-30 00:00:00
67	43	295.00	true	Basic	2021-01-30 00:00:00
68	54	295.00	true	Basic	2021-01-30 00:00:00
