id.int64()	user_id.int64()	product_id.int64()	subtotal.double()	tax.double()	total.double()	discount.double()	created_at.date(2006-03-02 15:04:05.99999999)	quantity.int32()
1	1	14	37.648145389078365	2.07	39.718145389078366		2019-02-11 21:40:27.892	2
2	1	123	110.93145648834248	6.1	117.0376564084763		2018-05-15 08:04:04.58	3
3	1	105	52.723521442619514	2.9	55.62208681964182	6.416679208849759	2019-12-06 22:22:48.544	2
4	1	94	109.21864156655383	6.01	115.2207354961295		2019-08-22 16:30:42.392	6
5	1	132	127.88197029833711	7.03	134.94192935296473		2018-10-10 03:34:47.309	5
6	1	60	29.80214751859149	1.64	31.441679133237017		2019-11-06 16:38:50.134	3
7	1	55	95.77128575934437	5.27	101.06105102213039		2018-09-11 11:22:26.521	5
8	1	65	68.22769726470014	3.75	71.9646003804807	8.653952930206964	2019-06-17 02:37:41.693	7
9	1	184	77.3982748679465	4.26	81.6742695904106	3.594742155259162	2017-05-03 16:00:54.923	3
10	1	6	97.43621265344382	5.36	102.77055805103969		2020-01-17 01:44:37.233	2
11	1	76	63.82421061366486	3.51	67.30535713840213		2018-07-22 20:31:01.969	6
12	3	7	148.22900526552291	10.19	158.44538230476374		2018-06-26 23:21:13.271	7
13	3	70	57.493003808959784	3.95	61.42339339833593	2.1173410336074987	2019-04-06 01:04:43.973	2
14	3	139	51.18512212784679	3.52	54.67137322414436		2017-05-25 20:50:37.137	4
15	3	116	114.42485125407785	7.87	122.30918146348135		2018-06-26 02:24:38.715	5
16	3	68	76.82895921539838	5.28	82.15964553750338		2017-12-14 11:28:30.031	1
17	3	48	123.20884248534108	8.47	131.65987891080385		2020-02-06 12:14:36.282	1
18	3	12	116.01427581618326	7.98	123.93528398902329		2020-04-10 23:29:46.804	2
19	3	136	105.20402317157343	7.23	112.53044509193751		2019-02-14 07:28:31.104	1
20	3	160	47.59120561297272	3.27	50.86583592650371	9.480671222888349	2018-04-21 04:18:01.863	4
21	3	94	109.21864156655383	7.51	116.62982729669602		2018-05-02 03:57:22.388	5
22	4	10	47.6793282102869	1.38	49.056071014283766	6.752650070439861	2019-12-12 21:32:01.533	1
23	4	85	54.90104734428525	1.59	56.5115886738793		2019-06-02 11:33:15.096	5
24	4	14	37.648145389078365	1.09	38.74860139651864		2019-09-20 17:28:38.643	6
25	4	97	112.41825444654248	3.26	115.64052715703252		2019-12-21 12:23:13.696	2
26	5	40	99.66240044231697	3.99	103.57613671689575		2018-06-20 02:18:00.254	5
27	6	14	37.648145389078365	1.51	39.11528698753412		2019-04-28 07:01:15.932	2
28	6	49	131.42865839323724	5.26	136.77951877238795	9.145059274307002	2018-05-23 18:15:24.432	4
29	6	45	118.0495173798411	4.72	122.6773063807222		2018-03-07 22:56:54.735	1
30	6	179	68.32408657333919	2.73	71.02493653936602		2019-04-15 12:24:20.17	3
31	7	191	128.5841852057933	9	137.8019637279584		2018-05-22 04:28:04.569	6
